File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lto-llvm-69fb86.o,89.982391%,9198,72862,21176,51485,201,8997
startup_at32f415.o,10.017609%,1024,404,36,368,0,1024
